Operation,TenantName,TenantId,Environment,InitialInstanceType,FinalInstanceType,EventDate
increase,amat,24619,prod,m6i.12xlarge,m6i.16xlarge,2024-07-04T07:00:37+03:00
increase,projectbigph,29669,prod,m6i.4xlarge,m6i.8xlarge,2024-07-04T07:00:37+03:00
increase,gcc,30232,prod,m6i.4xlarge,m6i.8xlarge,2024-07-04T07:00:37+03:00
restart,lab-hitachi-solutions,25037,prod7,,,2024-07-03T18:01:37+03:00
restart,nycparks,27954,prod,,,2024-07-03T07:01:26+03:00
increase,usps,29744,prod,m6i.8xlarge,m6i.12xlarge,2024-07-03T07:00:37+03:00
increase,craw,30009,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-03T07:00:37+03:00
decrease,ukg,22314,prod,m6i.16xlarge,m6i.12xlarge,2024-07-02T07:01:23+03:00
decrease,bmcc-cuny-edu,22670,prod,m6i.24xlarge,m6i.16xlarge,2024-07-02T07:01:23+03:00
restart,colgate,818,prod,,,2024-07-01T11:00:27+03:00
decrease,bridgeig,511,prod,m6i.8xlarge,m6i.4xlarge,2024-07-01T11:00:21+03:00
decrease,bpcan,1389,prod,m6i.8xlarge,m6i.4xlarge,2024-07-01T11:00:21+03:00
decrease,kramerav,20275,prod,m6i.8xlarge,m6i.4xlarge,2024-07-01T11:00:21+03:00
decrease,crossrail-uk,20300,prod,m6i.8xlarge,m6i.4xlarge,2024-07-01T11:00:21+03:00
decrease,baf,20416,prod,m6i.8xlarge,m6i.4xlarge,2024-07-01T11:00:21+03:00
decrease,lehman-cuny-edu,21366,prod,m6i.8xlarge,m6i.4xlarge,2024-07-01T11:00:21+03:00
decrease,solutionszone,21735,prod,m6i.8xlarge,m6i.4xlarge,2024-07-01T11:00:21+03:00
decrease,dev-fedex,25277,prod,m6i.8xlarge,m6i.4xlarge,2024-07-01T11:00:21+03:00
decrease,lab-neweratech,25436,prod,m6i.8xlarge,m6i.4xlarge,2024-07-01T11:00:21+03:00
restart,ise-lab,28644,prod,,,2024-06-30T07:01:17+03:00
increase,abcl,29515,prod9,m6i.4xlarge,m6i.8xlarge,2024-06-29T18:00:37+03:00
increase,ght-sud77,30154,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-29T07:00:38+03:00
increase,hefr,30193,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-27T07:00:53+03:00
increase,bswhealth,30215,prod,m6i.4xlarge,m6i.8xlarge,2024-06-27T07:00:53+03:00
restart,cosa,23970,prod,,,2024-06-26T07:01:41+03:00
restart,amoun,25558,prod4,,,2024-06-26T07:01:41+03:00
increase,ctmuhb-nhs,30085,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-26T07:00:48+03:00
decrease,ipl,28410,prod9,m6i.8xlarge,m6i.4xlarge,2024-06-25T18:01:42+03:00
increase,emsd,29830,prod,m6i.4xlarge,m6i.8xlarge,2024-06-25T07:00:33+03:00
increase,keystone,30211,prod,m6i.4xlarge,m6i.8xlarge,2024-06-25T07:00:33+03:00
restart,wwl-nhs,21803,prod4,,,2024-06-24T07:01:44+03:00
restart,uzl,27077,prod4,,,2024-06-24T07:01:44+03:00
restart,swisscom,30000014,prod4,,,2024-06-24T07:01:44+03:00
restart,hug-ch,28159,prod4,,,2024-06-24T07:01:44+03:00
restart,hprm,28611,prod7,,,2024-06-23T18:01:42+03:00
increase,klinikum-gap,28487,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-23T07:00:45+03:00
increase,jpsd,29195,prod,m6i.4xlarge,m6i.8xlarge,2024-06-23T07:00:45+03:00
increase,luminishealth,30212,prod,m6i.4xlarge,m6i.8xlarge,2024-06-23T07:00:45+03:00
increase,szmc-il,21382,prod,m6i.8xlarge,m6i.12xlarge,2024-06-21T07:00:45+03:00
increase,bryanhealth,24118,prod,m6i.8xlarge,m6i.12xlarge,2024-06-21T07:00:45+03:00
increase,airproducts,25961,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-21T07:00:45+03:00
increase,trinity,28503,prod,m6i.4xlarge,m6i.8xlarge,2024-06-21T07:00:45+03:00
increase,siciliadigitale,30141,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-21T07:00:45+03:00
restart,ukd,25930,prod4,,,2024-06-20T07:01:48+03:00
restart,tju,28516,prod,,,2024-06-20T07:01:48+03:00
restart,cravencounty,28584,prod,,,2024-06-19T07:01:36+03:00
restart,opzcrekem,28577,prod4,,,2024-06-19T07:01:36+03:00
restart,gpn,28575,prod4,,,2024-06-19T07:01:36+03:00
increase,norrbotten,30098,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-19T07:00:36+03:00
restart,north-lauderdale-fl,27254,prod,,,2024-06-18T07:01:26+03:00
restart,pfh-ie,28572,prod4,,,2024-06-18T07:01:26+03:00
restart,abinbev,28529,prod,,,2024-06-18T07:01:26+03:00
restart,key-west-fl,27120,prod,,,2024-06-18T07:01:26+03:00
restart,nippongases,28571,prod4,,,2024-06-18T07:01:26+03:00
restart,groveland-fl,27142,prod,,,2024-06-17T07:01:47+03:00
restart,union-cpa-fl,27271,prod,,,2024-06-17T07:01:47+03:00
restart,jefferson-cso-fl,27197,prod,,,2024-06-17T07:01:47+03:00
restart,flagler-tco-fl,27283,prod,,,2024-06-17T07:01:47+03:00
restart,flagler-cso-fl,27121,prod,,,2024-06-17T07:01:47+03:00
restart,gainesville-fl,27190,prod,,,2024-06-17T07:01:47+03:00
restart,utc,28314,prod,,,2024-06-17T07:01:47+03:00
restart,freeport-fl,27286,prod,,,2024-06-17T07:01:47+03:00
restart,north-miami-beach-fl,27255,prod,,,2024-06-17T07:01:47+03:00
restart,uofu,27579,prod,,,2024-06-16T07:01:32+03:00
restart,rnoh-nhs,28557,prod4,,,2024-06-16T07:01:32+03:00
restart,takeda,436,prod,,,2024-06-16T07:01:32+03:00
increase,merck,861,prod,m6i.8xlarge,m6i.12xlarge,2024-06-16T07:00:38+03:00
increase,arkema,28492,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-16T07:00:38+03:00
restart,ecomexpress,27435,prod7,,,2024-06-15T18:01:48+03:00
restart,kec,28551,prod9,,,2024-06-15T18:01:48+03:00
restart,rvn,28367,prod4,,,2024-06-15T07:01:32+03:00
increase,sunmetals,24084,prod5,m6i.4xlarge,m6i.8xlarge,2024-06-15T07:00:42+03:00
increase,garnethealth,30132,prod,m6i.4xlarge,m6i.8xlarge,2024-06-15T07:00:42+03:00
restart,surbanajurong,28291,prod7,,,2024-06-14T18:01:25+03:00
increase,vfcorp,26040,prod,m6i.8xlarge,m6i.12xlarge,2024-06-14T07:00:44+03:00
increase,helixnew,26241,prod,m6i.4xlarge,m6i.8xlarge,2024-06-14T07:00:44+03:00
increase,aorncardarelli,27693,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-14T07:00:44+03:00
increase,newbelgium,28903,prod,m6i.4xlarge,m6i.8xlarge,2024-06-14T07:00:44+03:00
increase,metro-ca,29746,prod,m6i.8xlarge,m6i.12xlarge,2024-06-14T07:00:44+03:00
increase,kestrelcoal,21622,prod5,m6i.4xlarge,m6i.8xlarge,2024-06-13T07:00:55+03:00
increase,churchofjesuschrist,21674,prod,m5.16xlarge,m6i.24xlarge,2024-06-13T07:00:55+03:00
increase,clarkcountynv,26929,prod,m6i.8xlarge,m6i.12xlarge,2024-06-13T07:00:55+03:00
increase,lumenis,29107,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-13T07:00:55+03:00
increase,abri-uk,29234,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-13T07:00:55+03:00
restart,9185e153,28541,prod4,,,2024-06-12T07:01:37+03:00
restart,gainesvillega,28542,prod,,,2024-06-12T07:01:37+03:00
restart,seu,21964,prod,,,2024-06-12T07:01:37+03:00
increase,lab-neweratech,25436,prod,m6i.4xlarge,m6i.8xlarge,2024-06-12T07:00:45+03:00
increase,usps,29744,prod,m6i.4xlarge,m6i.8xlarge,2024-06-12T07:00:45+03:00
increase,lljem,28860,prod7,m6i.4xlarge,m6i.8xlarge,2024-06-11T18:00:48+03:00
restart,afvbeltrame,28537,prod4,,,2024-06-11T07:01:32+03:00
increase,uchicago,28450,prod,m6i.4xlarge,m6i.8xlarge,2024-06-11T07:00:42+03:00
restart,baxter-lab,28528,prod,,,2024-06-10T07:01:18+03:00
restart,nutrien,28525,prod,,,2024-06-10T07:01:18+03:00
increase,az-dohs,28350,prod,m6i.4xlarge,m6i.8xlarge,2024-06-10T07:00:31+03:00
restart,oitpoc,28521,prod,,,2024-06-09T07:01:18+03:00
increase,utulsa,27510,prod,m6i.8xlarge,m6i.12xlarge,2024-06-09T07:00:31+03:00
increase,ukg,22314,prod,m6i.4xlarge,m6i.8xlarge,2024-06-08T07:00:42+03:00
increase,pacificdental,24190,prod,m6i.12xlarge,m6i.16xlarge,2024-06-08T07:00:42+03:00
increase,visa,25555,prod,m6i.4xlarge,m6i.8xlarge,2024-06-08T07:00:42+03:00
increase,resa,27218,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-08T07:00:42+03:00
increase,thomas-piron,29072,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-08T07:00:42+03:00
increase,metmex-mx,29681,prod,m6i.4xlarge,m6i.8xlarge,2024-06-08T07:00:42+03:00
restart,town-of-plymouth,28508,prod,,,2024-06-07T07:01:54+03:00
increase,dbmglobal,228,prod,m6i.8xlarge,m6i.12xlarge,2024-06-07T07:01:05+03:00
increase,westernmidstream,27382,prod,m6i.4xlarge,m6i.8xlarge,2024-06-07T07:01:05+03:00
